Protein Group,Protein ID,Accession,Significance,-10lgP,Intensity TMT10-126,Intensity TMT10-127N,Intensity TMT10-127C,Intensity TMT10-128N,Intensity TMT10-128C,Intensity TMT10-129N,Intensity TMT10-130C,Intensity TMT10-131,Ratio TMT10-126,Ratio TMT10-127N,Ratio TMT10-127C,Ratio TMT10-128N,Ratio TMT10-128C,Ratio TMT10-129N,Ratio TMT10-130C,Ratio TMT10-131,Intensity Group 1(TMT10-126; TMT10-127N),Intensity Group 2(TMT10-127C; TMT10-128N),Intensity Group 3(TMT10-128C; TMT10-129N),Intensity Group 4(TMT10-130C; TMT10-131),Ratio Group 1(TMT10-126; TMT10-127N),Ratio Group 2(TMT10-127C; TMT10-128N),Ratio Group 3(TMT10-128C; TMT10-129N),Ratio Group 4(TMT10-130C; TMT10-131),Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
19,18,P15108|HSC82_YEAST,17.22,322.17,2.902E6,2.79E6,3.993E6,4.09E6,3.689E6,3.512E6,2.924E6,3.331E6,1.00,0.96,1.38,1.41,1.27,1.21,1.01,1.15,2.849E6,4.041E6,3.608E6,3.128E6,1.00,1.42,1.27,1.10,12,33,8,TMT10plex; Deamidation (NQ),80900,ATP-dependent molecular chaperone HSC82 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HSC82 PE=1 SV=4
31,94,P00950|PMG1_YEAST,21.79,320.03,3.951E7,3.821E7,4.937E7,4.815E7,4.314E7,4.469E7,2.16E7,2.305E7,1.00,0.97,1.25,1.22,1.09,1.13,0.55,0.58,3.886E7,4.876E7,4.392E7,2.233E7,1.00,1.25,1.13,0.57,70,17,17,TMT10plex; Oxidation (M); Deamidation (NQ),27609,Phosphoglycerate mutase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GPM1 PE=1 SV=3
48,51,P38009|PUR92_YEAST,14.77,319.65,3.645E6,3.439E6,5.029E6,4.962E6,4.609E6,4.486E6,3.85E6,4.324E6,1.00,0.94,1.38,1.36,1.26,1.23,1.06,1.19,3.542E6,4.996E6,4.548E6,4.087E6,1.00,1.41,1.28,1.15,55,29,24,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),65263,Bifunctional purine biosynthesis protein ADE17 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADE17 PE=1 SV=2
73,28,P07251|ATPA_YEAST,26.07,319.43,3.949E6,3.62E6,5.844E6,5.71E6,5.128E6,5.231E6,1.318E7,1.379E7,1.00,0.92,1.48,1.45,1.30,1.32,3.34,3.49,3.785E6,5.777E6,5.18E6,1.348E7,1.00,1.53,1.37,3.56,49,24,24,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),58608,ATP synthase subunit alpha  mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ATP1 PE=1 SV=5
29,19,P02829|HSP82_YEAST,12.14,317.19,8.077E5,7.404E5,8.994E5,8.819E5,7.9E5,8.126E5,1.162E6,1.315E6,1.00,0.92,1.11,1.09,0.98,1.01,1.44,1.63,7.741E5,8.906E5,8.013E5,1.239E6,1.00,1.15,1.04,1.60,6,28,3,TMT10plex,81406,ATP-dependent molecular chaperone HSP82 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HSP82 PE=1 SV=1
68,20,P16861|PFKA1_YEAST,12.80,317.15,6.64E6,6.239E6,8.953E6,8.689E6,7.738E6,7.769E6,5.749E6,6.256E6,1.00,0.94,1.35,1.31,1.17,1.17,0.87,0.94,6.445E6,8.821E6,7.756E6,6.003E6,1.00,1.37,1.20,0.93,31,29,28,Acrylamide; TMT10plex,107970,ATP-dependent 6-phosphofructokinase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PFK1 PE=1 SV=1
24,214,P00942|TPIS_YEAST,15.44,313.96,3.535E7,3.302E7,4.587E7,4.697E7,4.262E7,4.131E7,2.558E7,2.857E7,1.00,0.93,1.30,1.33,1.21,1.17,0.72,0.81,3.418E7,4.642E7,4.196E7,2.707E7,1.00,1.36,1.23,0.79,77,18,18,Acrylamide; TMT10plex; Deamidation (NQ),26795,Triosephosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TPI1 PE=1 SV=2
18,17,P40150|SSB2_YEAST,13.46,313.90,1.351E6,1.261E6,1.565E6,1.519E6,1.4E6,1.462E6,1.016E6,1.097E6,1.00,0.93,1.16,1.12,1.04,1.08,0.75,0.81,1.306E6,1.544E6,1.433E6,1.059E6,1.00,1.18,1.10,0.81,10,28,4,TMT10plex; Oxidation (M),66595,Ribosome-associated molecular chaperone SSB2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSB2 PE=1 SV=2
40,27,P23254|TKT1_YEAST,28.16,313.31,1.087E7,1.092E7,1.562E7,1.511E7,1.371E7,1.38E7,9.467E6,1.054E7,1.00,1.00,1.44,1.39,1.26,1.27,0.87,0.97,1.089E7,1.537E7,1.376E7,1.001E7,1.00,1.41,1.26,0.92,39,27,27,TMT10plex; Oxidation (M); Deamidation (NQ),73806,Transketolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TKL1 PE=1 SV=4
27,33,P54115|ALDH6_YEAST,17.06,313.30,1.29E7,1.221E7,1.882E7,1.862E7,1.581E7,1.633E7,2.522E7,2.737E7,1.00,0.95,1.46,1.44,1.23,1.27,1.96,2.12,1.256E7,1.872E7,1.607E7,2.63E7,1.00,1.49,1.28,2.09,58,28,28,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),54414,Magnesium-activated aldehyde dehydrogenase  cytosolic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ALD6 PE=1 SV=4
39,26,P19414|ACON_YEAST,21.30,313.16,7.453E6,7.038E6,9.999E6,9.661E6,9.104E6,9.02E6,2.584E7,2.758E7,1.00,0.94,1.34,1.30,1.22,1.21,3.47,3.70,7.245E6,9.83E6,9.062E6,2.671E7,1.00,1.36,1.25,3.69,36,29,29,TMT10plex; Oxidation (M); Deamidation (NQ),85368,Aconitate hydratase  mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ACO1 PE=1 SV=2
108,37,P04147|PABP_YEAST,22.64,312.68,6.785E6,6.405E6,9.485E6,9.461E6,8.417E6,8.365E6,6.673E6,7.352E6,1.00,0.94,1.40,1.39,1.24,1.23,0.98,1.08,6.595E6,9.473E6,8.391E6,7.013E6,1.00,1.44,1.27,1.06,36,21,21,Acrylamide; TMT10plex; Oxidation (M),64344,Polyadenylate-binding protein  cytoplasmic and nuclear OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PAB1 PE=1 SV=4
10,101,P14540|ALF_YEAST,15.02,311.87,2.992E7,2.854E7,4.123E7,4.313E7,3.85E7,3.742E7,2.393E7,3.305E7,1.00,0.95,1.38,1.44,1.29,1.25,0.80,1.10,2.924E7,4.22E7,3.797E7,2.849E7,1.00,1.44,1.30,0.97,53,18,18,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),39621,Fructose-bisphosphate aldolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FBA1 PE=1 SV=3
49,13,P39692|MET10_YEAST,14.90,311.55,5.263E6,5.131E6,6.938E6,6.549E6,6.151E6,6.351E6,4.6E6,5.035E6,1.00,0.97,1.32,1.24,1.17,1.21,0.87,0.96,5.2E6,6.743E6,6.251E6,4.818E6,1.00,1.30,1.20,0.93,38,27,27,Acrylamide; TMT10plex; Deamidation (NQ),114829,Sulfite reductase [NADPH] flavoprotein component OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MET10 PE=1 SV=2
11,42,P00924|ENO1_YEAST,32.54,310.68,2.059E6,1.941E6,3.022E6,2.856E6,2.621E6,2.633E6,1.123E6,1.136E6,1.00,0.94,1.47,1.39,1.27,1.28,0.55,0.55,2E6,2.939E6,2.627E6,1.129E6,1.00,1.47,1.31,0.56,32,27,10,TMT10plex; Oxidation (M),46816,Enolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO1 PE=1 SV=3
25,23,P16521|EF3A_YEAST,21.39,309.01,1.054E7,9.899E6,1.582E7,1.563E7,1.377E7,1.305E7,7.726E6,8.074E6,1.00,0.94,1.50,1.48,1.31,1.24,0.73,0.77,1.022E7,1.573E7,1.341E7,7.9E6,1.00,1.54,1.31,0.77,31,35,28,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),115945,Elongation factor 3A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YEF3 PE=1 SV=4
70,105,P10963|PCKA_YEAST,23.83,306.68,1.909E6,1.869E6,2.493E6,2.497E6,2.261E6,2.223E6,1.512E7,1.632E7,1.00,0.98,1.31,1.31,1.18,1.16,7.92,8.55,1.9E6,2.501E6,2.247E6,1.572E7,1.00,1.32,1.18,8.28,47,20,20,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),60983,Phosphoenolpyruvate carboxykinase (ATP) OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PCK1 PE=1 SV=2
76,46,P00815|HIS2_YEAST,15.00,305.20,4.935E6,4.66E6,7.301E6,7.094E6,6.161E6,6.24E6,6.016E6,6.5E6,1.00,0.94,1.48,1.44,1.25,1.26,1.22,1.32,4.797E6,7.197E6,6.201E6,6.258E6,1.00,1.50,1.29,1.30,38,27,27,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),87721,Histidine biosynthesis trifunctional protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HIS4 PE=1 SV=3
42,24,P39976|DLD3_YEAST,17.91,304.89,6.171E6,5.664E6,8.548E6,8.183E6,7.44E6,7.368E6,4.921E6,5.109E6,1.00,0.92,1.39,1.33,1.21,1.19,0.80,0.83,5.922E6,8.373E6,7.404E6,5.015E6,1.00,1.41,1.25,0.85,62,25,25,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),55225,D-2-hydroxyglutarate--pyruvate transhydrogenase DLD3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DLD3 PE=1 SV=1
37,32,P06106|CYSD_YEAST,19.86,304.56,1.463E7,1.419E7,2.1E7,2.081E7,1.935E7,1.897E7,2.006E7,2.201E7,1.00,0.97,1.44,1.42,1.32,1.30,1.37,1.50,1.441E7,2.091E7,1.917E7,2.104E7,1.00,1.45,1.33,1.46,56,19,19,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),48672,Homocysteine/cysteine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MET17 PE=1 SV=3
82,131,P07257|QCR2_YEAST,23.86,303.65,3.962E6,3.679E6,5.47E6,5.418E6,4.808E6,4.827E6,1.567E7,1.672E7,1.00,0.93,1.38,1.37,1.21,1.22,3.96,4.22,3.82E6,5.444E6,4.817E6,1.62E7,1.00,1.42,1.26,4.24,67,23,23,Acrylamide; TMT10plex; Deamidation (NQ),40478,Cytochrome b-c1 complex subunit 2  mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR2 PE=1 SV=1
84,30,P19882|HSP60_YEAST,19.66,303.65,7.121E6,6.824E6,9.329E6,9.26E6,8.346E6,8.25E6,1.167E7,1.241E7,1.00,0.96,1.31,1.30,1.17,1.16,1.64,1.74,6.977E6,9.295E6,8.298E6,1.204E7,1.00,1.33,1.19,1.73,45,26,26,TMT10plex; Oxidation (M),60752,Heat shock protein 60  mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HSP60 PE=1 SV=1
52,98,P10664|RL4A_YEAST,16.56,303.08,4.362E5,3.652E5,8.667E5,8.459E5,6.861E5,6.829E5,4.47E5,5.058E5,1.00,0.84,1.99,1.94,1.57,1.57,1.02,1.16,4.007E5,8.563E5,6.845E5,4.764E5,1.00,2.14,1.71,1.19,4,17,2,TMT10plex,39092,60S ribosomal protein L4-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL4A PE=1 SV=4
50,82,P00830|ATPB_YEAST,23.62,301.14,5.403E6,4.966E6,6.731E6,6.446E6,5.99E6,5.746E6,1.92E7,2.078E7,1.00,0.92,1.25,1.19,1.11,1.06,3.55,3.85,5.185E6,6.588E6,5.868E6,1.999E7,1.00,1.27,1.13,3.86,54,22,22,TMT10plex; Oxidation (M); Deamidation (NQ),54794,ATP synthase subunit beta  mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ATP2 PE=1 SV=2
30,41,P0CS90|HSP77_YEAST,21.35,301.10,1.065E7,1.06E7,1.442E7,1.399E7,1.263E7,1.241E7,2.068E7,2.187E7,1.00,1.00,1.35,1.31,1.19,1.17,1.94,2.05,1.062E7,1.421E7,1.252E7,2.128E7,1.00,1.34,1.18,2.00,33,21,21,TMT10plex; Oxidation (M),70628,Import motor subunit  mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSC1 PE=1 SV=1
58,119,P23641|MPCP_YEAST,29.75,299.83,4.756E6,4.758E6,6.687E6,6.563E6,5.937E6,5.959E6,1.37E7,1.49E7,1.00,1.00,1.41,1.38,1.25,1.25,2.88,3.13,4.767E6,6.632E6,5.951E6,1.43E7,1.00,1.39,1.25,3.00,55,16,16,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),32812,Mitochondrial phosphate carrier protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MIR1 PE=1 SV=1
54,128,P49626|RL4B_YEAST,17.69,299.75,2.091E5,1.838E5,4.377E5,3.449E5,3.478E5,3.649E5,2.126E5,2.222E5,1.00,0.88,2.09,1.65,1.66,1.74,1.02,1.06,1.965E5,3.913E5,3.563E5,2.174E5,1.00,1.99,1.81,1.11,4,17,2,TMT10plex,39062,60S ribosomal protein L4-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL4B PE=1 SV=2
15,29,P00330|ADH1_YEAST,39.61,297.77,4.046E7,4.058E7,6.696E7,6.686E7,5.676E7,5.73E7,2.702E7,2.9E7,1.00,1.00,1.65,1.65,1.40,1.42,0.67,0.72,4.052E7,6.692E7,5.704E7,2.801E7,1.00,1.65,1.41,0.69,60,21,19,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),36849,Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5
32,63,P18239|ADT2_YEAST,21.70,296.90,7.729E6,7.351E6,9.991E6,9.529E6,9.005E6,8.897E6,2.524E7,2.689E7,1.00,0.95,1.29,1.23,1.17,1.15,3.27,3.48,7.54E6,9.76E6,8.954E6,2.607E7,1.00,1.29,1.19,3.46,42,25,18,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),34426,ADP ATP carrier protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PET9 PE=1 SV=2
